product_id,product_name,brand,product_type,tags,price_rupees,image_url_1,product_url,cpu,gpu,ram_gb,storage_gb,screen_refresh_rate,screen_size_inches,description,India_Availability,Launch_Year,INR_Conversion_Rate_Used,Price_INR_Updated
ASUS-ROG-G16-2024,ASUS ROG Zephyrus G16 (GU605),ASUS,Gaming Laptop,"rog,gaming,zephyrus,OLED,high-refresh",174990,https://rog.asus.com/media/165421/zephyrus-g16-2024.jpg,https://rog.asus.com/in/laptops/rog-zephyrus/rog-zephyrus-g16-2024/,Intel Core Ultra 9 / Ultra 7 options,NVIDIA GeForce RTX 4090 / 4070 options,32,1024,240,16,"High-end 16"" gaming laptop that balances top-tier GPU options (RTX 4070–4090) with a 2.5K OLED 240Hz display. Excellent for AAA gaming and content creation; strong cooling and lightweight aluminium chassis for its class.",Yes - listed on ASUS India estore,2024,84,174990
ASUS-ROG-GA605-2024,ASUS ROG Zephyrus G16 (GA605),ASUS,Gaming Laptop,"rog,gaming,amd ryzen ai,oled",184990,https://rog.asus.com/media/165422/zephyrus-ga605.jpg,https://rog.asus.com/in/laptops/rog-zephyrus/rog-zephyrus-g16-2024-ga605/,AMD Ryzen AI 9 HX 370,NVIDIA GeForce RTX 4070,32,1024,240,16,"AMD-powered Zephyrus targeting gamers who want AI acceleration and strong multi-thread performance. Great display for creators and gamers, plus AI features for workflow boosts.",Yes - listed on ASUS India estore,2024,84,184990
ASUS-ROG-STRIX-G16-2024,ASUS ROG Strix G16 (2024),ASUS,Gaming Laptop,"rog,strix,gaming,high-refresh,performance",144990,https://rog.asus.com/media/165423/strix-g16.jpg,https://rog.asus.com/in/laptops/rog-strix/rog-strix-g16/,Intel Core i7 / AMD Ryzen HX options,NVIDIA RTX 40-series options,16,1024,240,16,Performance-focused ROG Strix model with high-refresh panels and strong thermal solutions. Ideal for competitive gamers who prioritize frame rates and cooling.,Yes - launched in India (ASUS India listings & retailers),2024,84,144990
ASUS-TUF-A16-2024,ASUS TUF Gaming A16 (FA607),ASUS,Gaming Laptop,"tuf,gaming,durable,midrange",114990,https://dlcdnwebimgs.asus.com/gain/xxxx/tufa16.jpg,https://www.asus.com/in/laptops/tuf-gaming/tuf-gaming-a16/,AMD Ryzen 7 8840HS / Ryzen 9 options,NVIDIA RTX 4050/4060 options,16,512,144,16,"Value-oriented durable gaming laptop with military-inspired build, suitable for gamers who want solid 1080p performance and long-term reliability.",Yes - available in India,2024,84,114990
ASUS-VIV-15-X1504,ASUS Vivobook 15 (X1504),ASUS,Consumer Laptop,"vivobook,consumer,student,value",44990,https://dlcdnwebimgs.asus.com/gain/abcd/vivobook15.jpg,https://www.asus.com/in/laptops/for-home/vivobook/vivobook-15-x1504/,Intel Core i5 / AMD Ryzen 5 options,Integrated graphics,8,512,60,15.6,"Affordable 15.6"" everyday laptop for students and office use, balancing battery life, portability, and performance for common productivity tasks.",Yes - sold via ASUS India and retailers,2023,84,44990
ASUS-VIV-14-M1407,ASUS Vivobook 14 (M1407KA),ASUS,Consumer Laptop,"vivobook,copilot+,amd ryzen ai,compact",42990,https://dlcdnwebimgs.asus.com/gain/efgh/vivobook14.jpg,https://www.asus.com/in/laptops/vivobook/vivobook-14-m1407/,AMD Ryzen AI 5 330,Integrated Radeon,8,512,60,14,"14"" Copilot+ laptop with on-device AI acceleration; aimed at students and mobile professionals who want compact form factor and smart features.",Yes - Amazon/ASUS India listings reported,2024,84,42990
ASUS-ZEN-S16-UX3405,ASUS Zenbook S 16 (UX3405),ASUS,Ultrabook,"zenbook,ultrabook,premium,oled",159990,https://dlcdnwebimgs.asus.com/gain/ijkl/zenbooks16.jpg,https://www.asus.com/in/laptops/zenbook/zenbook-s16/,Intel Core Ultra 7 155H,Intel Arc / NVIDIA optional,16,1024,120,16,"Premium 16"" OLED ultrabook aimed at creators and professionals; focuses on display quality, battery life and sleek metal build.","Maybe - some Zenbook SKUs listed in India, verify SKU",2024,84,159990
ASUS-PROART-P16,ASUS ProArt P16,ASUS,Creator Laptop,"proart,creator,workstation,oLED",249990,https://dlcdnwebimgs.asus.com/gain/uvwx/proartp16.jpg,https://www.asus.com/in/laptops/proart/proart-p16/,Intel Core Ultra / AMD Ryzen options,NVIDIA RTX 40/50-series options,32,2000,120,16,"Creator-focused workstation with high color-accuracy OLED display and powerful GPU options — great for video editing, 3D work and color-critical tasks.",Maybe / region dependent - check local SKU listings,2024,84,249990
ASUS-ROG-G14-2024,ASUS ROG Zephyrus G14 (2024),ASUS,Gaming Laptop,"rog,g14,portable,gaming",139990,https://rog.asus.com/media/zephyrus-g14.jpg,https://rog.asus.com/in/laptops/rog-zephyrus/rog-zephyrus-g14/,AMD Ryzen AI 9 options,NVIDIA RTX 40-series options,16,1024,120,14,"Compact 14"" powerhouse: excellent balance of portability and gaming performance. Suitable for creators who need mobility without sacrificing GPU power.",Yes - ASUS India listings and media coverage,2024,84,139990
ACER-PRED-HELIOS-NEO-16,Acer Predator Helios Neo 16,Acer,Gaming Laptop,"predator,helios,ai,gaming,oLED",154999,https://static.acer.com/media/heliosneo16.jpg,https://www.acer.com/in-en/laptops/predator/helios-neo-16/,Intel Core i7 / i9 options,NVIDIA RTX 5070 / 50-series options,16,1024,240,16,New Predator Neo series with RTX 5070-class GPUs and OLED options; targets gamers and content creators seeking desktop-class performance in a laptop.,Yes - launched in India (news & Acer India store),2024,84,154999
ACER-NITRO-16,Acer Nitro V / Nitro 16 (AL16/AL15),Acer,Gaming Laptop,"nitro,gaming,value,144hz",74999,https://static.acer.com/media/nitro16.jpg,https://www.acer.com/in-en/laptops/nitro/,Intel Core i7-13620H / Ryzen options,NVIDIA RTX 3050 / 4050 options,16,512,144,15.6,Acer's value gaming line with solid 1080p performance and high-refresh displays — good pick for budget-conscious gamers.,Yes - widely sold in India,2023,84,74999
ACER-ASPIRE-5-15,Acer Aspire 5 (A515),Acer,Consumer Laptop,"aspire,office,affordable",36999,https://static.acer.com/media/aspire5.jpg,https://www.acer.com/in-en/laptops/aspire/aspire-5/,Intel Core i5 / Ryzen 5 options,Integrated graphics,8,512,60,15.6,"Practical 15.6"" laptop for students and office users — focuses on value, upgradability and decent battery life for daily tasks.",Yes - available via Acer India and retailers,2022,84,36999
ACER-SWIFT-GO-14,Acer Swift Go 14 (SFG14),Acer,Ultrabook,"swift,ultrabook,lightweight,oLED",62999,https://static.acer.com/media/swiftgo14.jpg,https://www.acer.com/in-en/laptops/swift/,Intel Core Ultra 5 / 7 options,Intel Arc Graphics,16,512,60,14,"Thin-and-light 14"" ultrabook with premium display options and a focus on portability and battery life — aimed at professionals on the move.","Maybe - some Swift models listed in India, check SKU",2024,84,62999
ACER-CONCEPTD-7,Acer ConceptD 7 / Creator series,Acer,Creator Laptop,"creator,workstation,color-accurate",229999,https://static.acer.com/media/conceptd7.jpg,https://www.acer.com/in-en/laptops/conceptd/,Intel Core i7 / i9 options,NVIDIA RTX Studio GPUs,32,2000,60,16,"High-end creator laptop with color-accurate displays, powerful GPUs, and features tailored for video/photo professionals and 3D artists.",Maybe - select SKUs/partners in India historically,2023,84,229999
ACER-CHROME-EDU-11,Acer Chromebook Spin (Education),Acer,Chromebook,"chromebook,education,lightweight",24999,https://static.acer.com/media/chromebook.jpg,https://www.acer.com/in-en/laptops/chromebook/,Intel / MediaTek options,Integrated,4,64,60,11.6,Affordable Chromebooks for education and light browsing—long battery life and ruggedised options for schools.,Yes - sold in India via retailers,2022,84,24999
ACER-PRED-HELIOS-16S,Acer Predator Helios 16 (PH16),Acer,Gaming Laptop,"predator,gaming,high-refresh",129999,https://static.acer.com/media/pherios16.jpg,https://www.acer.com/in-en/laptops/predator/helios-16/,Intel Core i7 / Core Ultra options,NVIDIA RTX 40-series,16,1024,240,16,High-refresh performance laptop targeted at competitive gamers and streamers with strong cooling and high-clock CPUs.,Yes - available in India,2024,84,129999
ACER-NITRO-5-AN515,Acer Nitro 5 (AN515),Acer,Gaming Laptop,"nitro,gaming,budget",57999,https://static.acer.com/media/nitro5.jpg,https://www.acer.com/in-en/laptops/nitro/nitro-5/,Intel Core i5 / Ryzen 5 options,NVIDIA GTX/RTX entry-level options,8,512,144,15.6,Popular budget gaming laptop with good upgrade paths and serviceability—widely available in India for value-conscious gamers.,Yes - widely sold in India,2023,84,57999
